participant_id,age,gender,sus_q1,sus_q2,sus_q3,sus_q4,sus_q5,sus_q6,sus_q7,sus_q8,sus_q9,sus_q10,engagement_fa1,engagement_fa2,engagement_fa3,engagement_fa4,engagement_fa5,engagement_pu1,engagement_pu2,engagement_pu3,engagement_ae1,engagement_ae2,engagement_ae3,engagement_ae4,engagement_rw1,engagement_rw2,engagement_rw3,narrative_quality_q1,narrative_quality_q2,narrative_quality_q3,narrative_quality_q4,narrative_quality_q5,ai_perception_q1,ai_perception_q2,ai_perception_q3,ai_perception_q4,ai_perception_q5,immersion_q1,immersion_q2,immersion_q3,open_positive,open_negative,open_suggestions
P011,22,Male,3,2,5,2,5,4,3,1,4,3,4,5,3,5,3,5,5,3,4,5,4,4,4,2,3,4,5,6,4,6,4,4,6,5,5,6,5,5,Impressive how the narrative maintained thematic consistency despite being AI-generated. The central themes carried through every chapter.,Some choice options felt too similar to each other. I wanted more dramatically different paths to explore.,Implement a feedback button during gameplay so players can flag AI inconsistencies in real time.
P012,22,Female,3,1,5,3,3,1,4,3,4,2,4,4,4,2,4,3,4,5,4,4,5,4,4,4,5,4,5,4,5,4,4,5,6,6,3,5,4,4,The puzzle elements integrated naturally into the narrative rather than feeling like arbitrary obstacles. Smart design choice.,The settings menu was hard to find during gameplay. An in-game overlay would be more accessible than the current approach.,Add a narrative recap at the start of each chapter summarizing previous events and choices.
P013,27,Female,4,2,5,3,3,2,5,4,3,1,5,4,3,4,2,4,4,4,3,4,3,4,3,3,3,6,6,5,5,4,4,4,7,3,6,6,6,7,I appreciated the accessibility options available. The customizable text size and color settings made the experience comfortable.,Certain AI-generated descriptions were overly verbose. Tighter editing would improve readability and pacing.,Consider accessibility features like dyslexia-friendly font options and high contrast modes.
P014,18,Male,4,3,4,3,5,2,3,2,3,2,5,3,4,4,4,2,3,4,5,3,2,4,3,2,3,5,4,3,6,6,6,3,4,5,5,6,4,5,The ending felt earned and emotionally satisfying. It tied together threads from earlier choices in a way I did not expect.,The difficulty curve for puzzle elements was inconsistent. Some were trivially easy while others halted progress.,A mood or tone selector at the start could help the AI tailor the narrative atmosphere.
P015,18,Male,4,4,5,3,4,3,4,1,5,3,3,3,4,4,4,4,5,5,4,5,3,4,5,3,3,4,4,4,5,4,5,6,4,7,5,6,5,6,Sound design complemented the visuals perfectly. The ambient soundscapes made each location feel alive and unique.,I felt the character creation options could be expanded. More background choices would add to the personalization.,Include statistics at the end showing how your choices compared with other players.
P016,21,Male,3,3,4,3,3,1,4,1,4,1,5,3,4,4,3,4,4,3,3,2,4,3,4,3,4,5,5,6,5,5,5,3,5,5,3,5,5,5,The UI was clean and intuitive. Never once did I feel lost or confused about how to interact with the game.,Text rendering on some art backgrounds made readability challenging. Better contrast or text boxes would help.,Add ambient environmental sounds that respond to narrative tension level.
P017,18,Female,4,3,5,1,4,3,4,3,5,3,4,5,4,4,4,5,3,5,4,3,4,2,4,4,3,5,7,5,4,6,7,5,6,6,4,5,7,7,Dialogue options gave me real agency. I felt like I was shaping the character rather than just selecting from predetermined paths.,The help system was not very helpful for understanding game mechanics. More contextual tutorials would be welcome.,Consider a photo mode for capturing and sharing favorite AI-generated scene compositions.
P018,27,Male,4,1,5,2,4,3,5,3,4,3,4,4,2,4,4,3,4,4,5,5,4,4,3,3,4,4,4,6,6,4,6,4,5,6,4,6,5,5,The game respected my time. Session length felt right and there were natural stopping points that made it easy to pause and return.,Some emotional scenes lacked impact because the AI writing was too clinical and detached in tone.,Implement an undo option for the most recent choice to reduce frustration.
P019,19,Female,4,2,4,1,4,2,4,2,4,3,4,3,3,3,3,4,3,3,3,4,4,3,3,3,3,4,6,3,5,5,5,7,5,3,4,3,5,4,I was surprised by the emotional depth of some scenes. The AI managed to create moments that genuinely moved me.,Navigation between previously visited areas was cumbersome. A quick-travel or chapter select would improve the experience.,Add more transitional animations between scenes to improve narrative flow.
P020,18,Male,5,2,4,2,5,2,5,3,4,3,4,2,4,5,4,3,4,5,5,4,5,4,2,3,5,5,5,5,7,6,7,4,5,3,7,4,6,4,The variety of narrative paths available adds significant replay value. I immediately wanted to play again making different choices.,"The game did not clearly indicate when choices were irreversible, which led to some frustrating moments.",Consider episodic content updates that expand the story world over time.
P021,35,Non-binary,4,1,4,2,4,3,3,2,5,2,3,4,5,4,4,4,3,4,4,4,3,3,4,5,3,5,3,4,5,4,3,3,5,4,1,3,5,6,The narrative branching felt genuinely responsive to my choices. I was impressed by how the story adapted when I made unexpected decisions.,"Some dialogue transitions felt abrupt, especially when switching between characters. The conversation flow could use more smoothing.",Add a journal or codex feature that tracks story decisions and lore entries for reference.
P022,23,Male,2,2,4,3,4,3,4,1,5,2,4,5,2,5,3,4,4,4,3,4,3,4,3,2,3,6,5,5,4,6,5,7,4,5,4,7,4,6,Beautiful art style that maintained consistency throughout. The AI-generated environments had a cohesive aesthetic that really drew me in.,I noticed occasional repetition in descriptive text. Certain phrases appeared multiple times across different scenes.,Consider adding voice acting or text-to-speech for key dialogue moments.
P023,25,Male,4,2,4,2,4,2,5,3,5,2,3,4,4,5,3,4,3,4,5,3,4,4,4,2,4,2,5,4,6,6,5,6,3,7,6,5,6,4,Character dialogue felt surprisingly natural and engaging. I found myself genuinely caring about the outcomes of conversations.,The AI-generated art had minor inconsistencies in character appearances between scenes. Maintaining visual continuity needs work.,A chapter select for replaying with different choices would increase replay value significantly.
P024,18,Male,3,2,4,1,5,2,4,2,3,2,2,4,3,5,5,4,5,3,4,4,4,5,4,4,2,4,5,5,4,7,6,5,4,4,3,5,6,4,The music adaptation was a standout feature. How it shifted with story beats created an incredibly atmospheric experience.,Loading times between chapters were noticeable and broke immersion at critical story moments.,Include more visual customization options for the main character during creation.
P025,21,Non-binary,4,2,2,1,4,4,4,1,4,1,5,4,4,5,3,3,3,5,3,2,4,5,5,3,3,6,3,5,5,5,4,5,2,4,5,4,5,6,I loved the character creation system. Being able to influence the AI narrative through my character background was a clever design choice.,Some narrative branches felt underdeveloped compared to others. The quality was uneven across different choice paths.,Add difficulty settings that affect puzzle complexity and narrative branching depth.
P026,26,Non-binary,4,2,3,2,4,2,4,2,5,1,5,3,4,5,3,3,4,3,5,3,3,4,2,3,4,5,5,5,4,5,6,4,4,5,2,7,5,7,The pacing of the story kept me engaged throughout. Each chapter built on the last in a way that felt intentional and well-structured.,The text-heavy sections could benefit from more visual breaks. Long passages without interaction tested my attention span.,Consider implementing a relationship tracker showing how NPCs feel about the player.
P027,18,Male,3,4,5,3,4,2,5,2,2,1,4,4,4,5,2,4,3,4,4,4,3,5,4,4,3,6,4,6,6,6,3,5,3,5,5,3,4,5,World-building was rich and detailed. The lore entries generated for each area added depth without being overwhelming.,Character motivations sometimes felt unclear or contradictory. The AI occasionally lost track of established personality traits.,A save system with multiple slots would let players explore different narrative branches.
P028,28,Female,4,1,4,2,4,2,5,4,4,2,4,3,4,4,2,5,4,4,4,4,2,5,4,4,4,4,5,5,6,3,4,4,5,5,3,4,5,4,The choice system felt meaningful. I could see how my decisions rippled through the narrative in ways both subtle and dramatic.,The final chapter felt rushed compared to the deliberate pacing of earlier sections. More time for resolution would help.,Add optional side stories that expand on secondary characters and world lore.
P029,21,Female,5,2,2,2,3,1,3,2,5,2,3,4,3,3,3,3,4,4,4,3,3,4,2,4,3,4,4,5,6,5,6,5,3,4,3,6,4,6,Really enjoyed the visual storytelling elements. The scene transitions and art composition added emotional weight to key moments.,I encountered a visual glitch where background art overlapped dialogue boxes during one scene in chapter two.,Include a gallery mode to revisit AI-generated art from completed scenes.
P030,23,Female,5,4,4,3,5,2,3,1,5,1,3,4,4,4,4,5,3,3,3,4,4,4,5,2,5,6,6,7,4,5,4,6,3,6,6,6,5,4,"The game managed to create genuine tension during key story beats. I was genuinely uncertain about outcomes, which is rare in narrative games.","The ambient music occasionally looped noticeably, which slightly diminished the otherwise strong atmosphere.",Consider adding collaborative or shared narrative modes for multiplayer experiences.
P031,21,Female,3,3,5,2,4,1,3,4,3,2,4,3,4,4,4,5,3,5,4,4,4,3,4,2,4,5,6,6,5,5,3,4,6,6,4,5,4,6,Impressive how the narrative maintained thematic consistency despite being AI-generated. The central themes carried through every chapter.,Some choice options felt too similar to each other. I wanted more dramatically different paths to explore.,Implement a feedback button during gameplay so players can flag AI inconsistencies in real time.
P032,38,Male,5,4,3,2,4,3,4,1,5,3,3,5,5,4,4,4,3,4,2,5,3,5,3,3,3,5,6,3,6,5,3,3,6,3,3,6,5,4,The puzzle elements integrated naturally into the narrative rather than feeling like arbitrary obstacles. Smart design choice.,The settings menu was hard to find during gameplay. An in-game overlay would be more accessible than the current approach.,Add a narrative recap at the start of each chapter summarizing previous events and choices.
P033,25,Male,4,1,5,3,4,3,5,2,3,3,5,3,3,4,4,3,5,5,4,3,3,4,4,4,3,4,4,6,6,4,6,5,6,3,3,5,6,7,I appreciated the accessibility options available. The customizable text size and color settings made the experience comfortable.,Certain AI-generated descriptions were overly verbose. Tighter editing would improve readability and pacing.,Consider accessibility features like dyslexia-friendly font options and high contrast modes.
P034,18,Non-binary,5,2,3,3,3,4,4,4,5,2,3,4,4,4,3,4,4,2,4,3,3,3,2,2,3,7,5,5,5,5,4,3,6,7,2,4,5,4,The ending felt earned and emotionally satisfying. It tied together threads from earlier choices in a way I did not expect.,The difficulty curve for puzzle elements was inconsistent. Some were trivially easy while others halted progress.,A mood or tone selector at the start could help the AI tailor the narrative atmosphere.
P035,31,Non-binary,4,2,5,3,4,3,5,2,3,2,5,4,3,3,4,4,5,3,4,5,5,4,4,4,4,5,5,3,6,5,4,7,3,4,7,4,5,5,Sound design complemented the visuals perfectly. The ambient soundscapes made each location feel alive and unique.,I felt the character creation options could be expanded. More background choices would add to the personalization.,Include statistics at the end showing how your choices compared with other players.
P036,18,Female,5,2,3,2,4,2,4,3,3,3,4,5,4,4,4,5,4,4,5,4,4,3,2,4,4,4,5,6,6,4,5,4,4,4,4,4,5,4,The UI was clean and intuitive. Never once did I feel lost or confused about how to interact with the game.,Text rendering on some art backgrounds made readability challenging. Better contrast or text boxes would help.,Add ambient environmental sounds that respond to narrative tension level.
P037,26,Male,2,4,5,2,4,1,5,4,4,3,4,3,4,4,4,4,4,4,4,3,3,3,4,2,5,6,5,3,5,5,3,4,6,5,3,4,5,5,Dialogue options gave me real agency. I felt like I was shaping the character rather than just selecting from predetermined paths.,The help system was not very helpful for understanding game mechanics. More contextual tutorials would be welcome.,Consider a photo mode for capturing and sharing favorite AI-generated scene compositions.
P038,18,Male,4,2,4,4,5,2,4,2,5,2,4,4,3,3,4,4,4,3,5,3,5,2,4,4,3,5,6,3,5,3,3,7,4,3,4,7,3,4,The game respected my time. Session length felt right and there were natural stopping points that made it easy to pause and return.,Some emotional scenes lacked impact because the AI writing was too clinical and detached in tone.,Implement an undo option for the most recent choice to reduce frustration.
P039,18,Female,5,4,4,1,5,4,5,1,4,2,4,5,4,3,5,4,4,5,3,4,3,3,4,5,2,5,6,5,5,4,5,4,2,6,6,5,5,6,I was surprised by the emotional depth of some scenes. The AI managed to create moments that genuinely moved me.,Navigation between previously visited areas was cumbersome. A quick-travel or chapter select would improve the experience.,Add more transitional animations between scenes to improve narrative flow.
P040,26,Non-binary,4,3,4,3,4,2,3,2,3,2,3,3,5,5,5,3,4,3,3,3,5,4,4,4,5,4,6,6,4,6,5,4,4,4,7,5,6,4,The variety of narrative paths available adds significant replay value. I immediately wanted to play again making different choices.,"The game did not clearly indicate when choices were irreversible, which led to some frustrating moments.",Consider episodic content updates that expand the story world over time.
